Index,Prime,Time,OriginalTime
373,2549,0,354
374,2551,0,354
375,2557,0,354
376,2579,0,354
377,2591,0,354
378,2593,0,354
379,2609,0,354
380,2617,0,354
381,2621,0,354
382,2633,0,354
383,2647,0,354
384,2657,0,354
385,2659,0,354
386,2663,0,354
387,2671,0,354
388,2677,0,354
389,2683,0,354
390,2687,0,354
391,2689,0,354
392,2693,0,354
393,2699,0,354
394,2707,0,354
395,2711,0,354
396,2713,0,354
397,2719,0,354
398,2729,0,354
399,2731,0,354
400,2741,0,354
401,2749,0,354
402,2753,0,354
403,2767,0,354
404,2777,0,354
405,2789,0,354
406,2791,0,354
407,2797,0,354
408,2801,0,354
409,2803,0,354
410,2819,0,354
411,2833,0,354
412,2837,0,354
413,2843,0,354
414,2851,0,354
415,2857,0,354
416,2861,0,354
417,2879,0,354
418,2887,0,354
419,2897,0,354
420,2903,0,354
421,2909,0,354
422,2917,0,354
423,2927,0,354
424,2939,0,354
425,2953,0,354
426,2957,0,354
427,2963,0,354
428,2969,0,354
429,2971,0,354
430,2999,0,354
431,3001,0,354
432,3011,0,354
433,3019,0,354
434,3023,0,354
435,3037,0,354
436,3041,0,354
437,3049,0,354
438,3061,0,354
439,3067,0,354
440,3079,0,354
441,3083,0,354
442,3089,0,354
443,3109,0,354
444,3119,0,354
445,3121,0,354
446,3137,0,354
447,3163,0,354
448,3167,0,354
449,3169,0,354
450,3181,0,354
451,3187,0,354
452,3191,0,354
453,3203,0,354
454,3209,0,354
455,3217,0,354
456,3221,0,354
457,3229,0,354
458,3251,0,354
459,3253,0,354
460,3257,0,354
461,3259,0,354
462,3271,0,354
463,3299,0,354
464,3301,0,354
465,3307,0,354
466,3313,0,354
467,3319,0,354
468,3323,0,354
469,3329,0,354
470,3331,0,354
471,3343,0,354
472,3347,0,354
473,3359,0,354
474,3361,0,354
475,3371,0,354
476,3373,0,354
477,3389,0,354
478,3391,0,354
479,3407,0,354
480,3413,0,354
481,3433,0,354
482,3449,0,354
483,3457,0,354
484,3461,0,354
485,3463,0,354
486,3467,0,354
487,3469,0,354
488,3491,0,354
